Length,Delay
0,0
0,1
0,0
0,0
23,1
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
24,0
25,0
25,0
25,0
25,1
25,0
25,1
25,0
25,0
25,1
25,0
25,1
25,1
25,0
25,1
25,0
25,0
25,1
25,1
25,1
25,0
25,0
25,1
26,1
26,0
26,1
26,1
26,0
26,0
26,1
26,1
26,0
26,1
26,0
26,0
26,1
26,0
26,1
26,0
26,1
26,0
26,1
26,0
27,1
27,1
27,1
27,0
27,1
27,1
27,1
27,1
27,1
27,0
27,0
27,0
27,1
27,0
27,1
27,0
27,1
27,0
27,1
27,1
27,0
27,0
27,0
27,0
27,0
27,1
27,1
27,0
27,0
27,0
27,1
27,0
27,1
27,1
27,0
27,0
27,0
27,0
27,1
27,0
27,0
27,0
27,0
27,1
27,1
27,1
27,0
27,0
27,1
27,0
27,1
27,0
27,0
27,1
27,1
27,1
27,0
27,0
27,1
28,0
28,0
28,1
28,0
28,0
28,1
28,0
28,0
28,0
28,1
28,1
28,1
28,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,1
29,0
29,1
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,0
29,0
29,1
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,1
29,1
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,1
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,1
29,1
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,1
29,0
29,1
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,0
29,1
29,0
29,0
29,1
30,0
30,0
30,1
30,1
30,1
30,1
30,0
30,1
30,0
30,0
30,0
30,0
30,1
30,0
30,1
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,1
30,0
30,1
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,1
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,1
30,0
30,0
30,0
30,1
30,1
30,1
30,1
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,1
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,1
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,1
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,1
30,1
30,0
30,0
30,1
30,0
30,1
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,1
30,1
30,0
30,0
30,0
30,1
30,0
30,1
30,0
30,1
30,1
30,1
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,0
30,0
30,1
30,0
30,1
30,0
30,1
30,0
30,0
30,0
30,0
30,1
30,0
30,0
30,1
30,1
30,0
30,0
